variant,np,mean_miops,std_miops
no batch hold,2,13.968507823230016,
batch hold (10µs),2,14.856156842143422,
no batch hold,4,22.106298422726493,
batch hold (10µs),4,21.104381575561835,
no batch hold,8,8.260392955796512,
batch hold (10µs),8,11.177077557544443,
no batch hold,16,14.861255585841288,
batch hold (10µs),16,19.627437191725566,
no batch hold,32,27.251379477457935,
batch hold (10µs),32,39.24177006259872,
